scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
50 m,P245-3_11_GRTS_PossibleCaARU_sample_draw_base,OFEN,1,Open Fen,NA,NA,NA,NA
100 m,P245-3_11_GRTS_PossibleCaARU_sample_draw_base,OFEN,1,Open Fen,NA,NA,NA,NA
1 km,P245-3_11_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.46437134800885754,Open Fen,OBOG,0.32461491499029865,Open Bog,0.7889862629991562
1 m,P246-2_14_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P246-2_14_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.9360918914696712,Treed Bog,ConSWA,0.06390810853032881,Coniferous Swamp,1
100 m,P246-2_14_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.7337536832397213,Treed Bog,ConSWA,0.26624631676027866,Coniferous Swamp,1
1 km,P246-2_14_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.5164913413961422,Open Bog,TrBOG,0.2748820544850199,Treed Bog,0.7913733958811621
1 m,P246-4_16_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P246-4_16_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.5665571235152759,Open Bog,OFEN,0.4334428764847241,Open Fen,1
100 m,P246-4_16_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.6626346939655747,Open Fen,OBOG,0.3373653060344253,Open Bog,1
1 km,P246-4_16_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.44497304998565546,Open Fen,OBOG,0.35239961236974676,Open Bog,0.7973726623554023
1 m,P258-2_51_GRTS_PossibleCaARU_sample_draw_base,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,P258-2_51_GRTS_PossibleCaARU_sample_draw_base,OFEN,1,Open Fen,NA,NA,NA,NA
100 m,P258-2_51_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.8763959606453335,Open Fen,OBOG,0.09989117330927183,Open Bog,0.9762871339546053
1 km,P258-2_51_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.4910649149153572,Open Fen,OBOG,0.21124454212392874,Open Bog,0.7023094570392859
1 m,P264-2_108_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P264-2_108_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.912509744549718,Treed Fen,OFEN,0.087490255450282,Open Fen,1
100 m,P264-2_108_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.823485817844887,Treed Fen,OFEN,0.17651418215511308,Open Fen,1
1 km,P264-2_108_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.35066467305007504,Treed Fen,TrBOG,0.22056245276308878,Treed Bog,0.5712271258131638
1 m,P273-2_18_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P273-2_18_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.9490064935754284,Treed Fen,XWAT,0.05099350642457159,Turbid Water,1
100 m,P273-2_18_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.7089699921423532,Treed Fen,XWAT,0.2544463315538566,Turbid Water,0.9634163236962099
1 km,P273-2_18_GRTS_PossibleCaARU_sample_draw_base,XWAT,0.4082508931157951,Turbid Water,TrFEN,0.25670301878146956,Treed Fen,0.6649539118972647
1 m,P273-4_20_GRTS_PossibleCaARU_sample_draw_base,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,P273-4_20_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.9336268605433374,Coniferous Swamp,TrFEN,0.06637313945666252,Treed Fen,1
100 m,P273-4_20_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.8118643150171135,Coniferous Swamp,TrFEN,0.18813568498288646,Treed Fen,1
1 km,P273-4_20_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.3601331976794881,Treed Fen,ConSWA,0.2328694785123921,Coniferous Swamp,0.5930026761918802
1 m,P284-1_21_GRTS_PossibleCaARU_sample_draw_base,SpTRE,1,Sparse Treed,NA,NA,NA,NA
50 m,P284-1_21_GRTS_PossibleCaARU_sample_draw_base,SpTRE,0.9161766192542022,Sparse Treed,MixTRE,0.06499662828631897,Mixed Treed,0.9811732475405213
100 m,P284-1_21_GRTS_PossibleCaARU_sample_draw_base,SpTRE,0.45702482270103106,Sparse Treed,ConTRE,0.2486614927003927,Coniferous Treed,0.7056863154014238
1 km,P284-1_21_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.2102651785169245,Coniferous Swamp,ConTRE,0.18597732678006318,Coniferous Treed,0.3962425052969877
1 m,P284-2_22_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P284-2_22_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.9790072283496309,Treed Fen,ConSWA,0.020992771650369113,Coniferous Swamp,1
100 m,P284-2_22_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.8953310260193018,Treed Fen,ConSWA,0.0796313208700898,Coniferous Swamp,0.9749623468893917
