scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 km,124_P329-3_2025_peat_sites_1028,OFEN,0.4655467125053089,Open Fen,TrFEN,0.3286258818853293,Treed Fen,0.7941725943906381
1 m,125_P329-4_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,125_P329-4_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
100 m,125_P329-4_2025_peat_sites_1028,TrBOG,0.9689191074129182,Treed Bog,OFEN,0.031080892587081826,Open Fen,1
1 km,125_P329-4_2025_peat_sites_1028,OFEN,0.44370420136622046,Open Fen,TrBOG,0.3288302718637203,Treed Bog,0.7725344732299408
1 m,126_P329-5_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,126_P329-5_2025_peat_sites_1028,TrFEN,0.8986093938187719,Treed Fen,WAT,0.10139060618122811,Clear Open Water,1
100 m,126_P329-5_2025_peat_sites_1028,TrFEN,0.648874986823768,Treed Fen,WAT,0.20457390086355715,Clear Open Water,0.8534488876873252
1 km,126_P329-5_2025_peat_sites_1028,TrBOG,0.3135522879397276,Treed Bog,ConSWA,0.21644251329554637,Coniferous Swamp,0.529994801235274
1 m,127_P145-1_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,127_P145-1_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,127_P145-1_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
1 km,127_P145-1_2025_peat_sites_1028,OBOG,0.7250878281043395,Open Bog,TrBOG,0.23349806441950297,Treed Bog,0.9585858925238424
1 m,12_P245-4_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,12_P245-4_2025_peat_sites_1028,TrFEN,0.5778025729451067,Treed Fen,ConSWA,0.42219742705489327,Coniferous Swamp,1
